GramBank ID	Hedvigs thematic order	Feature	Possible Values	Clarifying Comments	OLD DO NOT USE Draft of clarifying comments to outsiders (before Jeremy, Hannah and Hedvigs draft)	Feature patron	Suggested standardised comments	Suggested standardised comments in dropdown menu form	progress on new description	Feature question in French	Relevant unit(s)	Function	Formal means	Unnamed: 14	Dependencies	Legacy status	GramBank-status	Work in progress comment	Jeremy - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (add complement?)	Hedvig - Estimated action commentary	Wordhood issues	NTS or GramBank?	dependencies in the grambank features	Inspired by WALS	di garbo	have been dealt with during homework1 (Jeremy, Hanna, Hedvig)	Africa-spec	Complementing F1-F160	other complements	Very hard to deny	Prone to misunderstandings among researchers	Requires extensive data on the language	Design (just from Hedvigs memory)	"Relevant for Nick and ""Parabank"""	Last edited	Is there a typological survey that already covers this feature somehow?	Previous comments	Old comments	Hedvig's meta-comment (mostly to herself)	Harald's clarification and/or reformulation	Old feature number	Old feature	db_Object	db_Domain
GB029		Is there a minimal-augmented system?	0:n																																										Is there a minimal-augmented system?	{'0': <DomainElement 'GB029-0'>, '?': <DomainElement 'GB029-?'>}
GB030	Hedvigs_thematic_order0156	Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	1: present;2:n;0: absent	This is often natural gender (masc./fem), but it could be animacy as well. If pronouns of inanimate nouns agree with the gender/noun class of that noun that will suffice for (1) here.			Not mentioned		in progress	Existe-t-il une distinction de genre pour les pronoms de la 3èmepersonne (ou pour les démonstratifs, s’il n’y a pas de pronoms de la 3personne (ou pour les démonstratifs, s’il n’y a pas de pronoms de la 3ème personne)?	demonstrative, pronoun	pronominal gender	paradigm, declension		(168:1 v 169.1) -> 30:1	Sahul	keepers			keep identical copy				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 44	either two- or threefold	either two- or threefold	Not necessarily masc/fem but also animate/inanimate. Nota bene that a difference in definiteness does not count as gender here.	gender can be natural gender (m/f ) or animate vs inanimate or something else	2.2.02	Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	{'1': <DomainElement 'GB030-1'>, '0': <DomainElement 'GB030-0'>, '2': <DomainElement 'GB030-2'>, '?': <DomainElement 'GB030-?'>}
GB031	Hedvigs_thematic_order0171	Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	4:?;1: present;3:y;2:n;0: absent	This needs to be a category that is present for all persons, i.e. 29:1 -> 31:1 is not (necessarily) true	This needs to be a category that is present for all persons, i.e. 29:1 -> 31:1 is not (necessarily) true		Not mentioned		in progress	Existe-t-il une catégorie de duel (ou augmentation d’unité) en plus du pluriel (ou augmentation) dans le système pronominal?	pronoun	number	paradigm, declension		31	Sahul	keepers			keep identical copy				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								2.2.03a	Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	{'0': <DomainElement 'GB031-0'>, '3': <DomainElement 'GB031-3'>, '?': <DomainElement 'GB031-?'>, '1': <DomainElement 'GB031-1'>, '2': <DomainElement 'GB031-2'>, '4': <DomainElement 'GB031-4'>}
GB032	Hedvigs_thematic_order0174	Are 1st and 2nd persons conflated in any context?	1: present;3:y;2:n;0: absent	Excluding honorifics.		Hedvig	Not mentioned, Same pronoun form covering both first and second person in some context, Person is marked on the verb and there is a context where first and second person are the same		in progress	Existe-t-il des contextes où les marqueurs de 1ère et 2ème personnes sont amalgamés?	pronoun, bound person form	person, TAM, negation	paradigm, declension, bound person marking		32	Sahul	keepers																												Are 1st and 2nd persons conflated in any context?	{'1': <DomainElement 'GB032-1'>, '0': <DomainElement 'GB032-0'>, '3': <DomainElement 'GB032-3'>, '2': <DomainElement 'GB032-2'>, '?': <DomainElement 'GB032-?'>}
GB033		Are 2nd and 3rd persons conflated in non-singular numbers?	0:n																																										Are 2nd and 3rd persons conflated in non-singular numbers?	{'0': <DomainElement 'GB033-0'>, '?': <DomainElement 'GB033-?'>}
GB034	Hedvigs_thematic_order0175	Are person categories neutralized under some conditions?	1: present;2:n;0: absent	In this question we mean all person categories, not just one person. It could for example be that person-marking entirely disappears under negation. Excluding honorifics and imperatives and non-finite forms of verbs.	In this question we mean all person categories, not just one person. It could for example be that person-marking entirely disappears under negation.	Hedvig	Not mentioned, Under negation, In a certain TAM context, Unclear whether the verb form counts as finite		in progress	Existe-t-il des contextes où tous les marqueurs de personne sont neutralisés?	pronoun, bound person form	person, TAM, negation	paradigm, declension, bound person marking		34	Sahul	keepers			keep identical copy				NTS								Yes	Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 114 is useful	e.g. in non-singular, under NEG, in certain TAM	e.g. in non-singular, under NEG, in certain TAM	All person categories (not only 3SG) are obligatorily neutralized.		2.2.06	Are person categories neutralized under some conditions?	Are person categories neutralized under some conditions?	{'1': <DomainElement 'GB034-1'>, '0': <DomainElement 'GB034-0'>, '2': <DomainElement 'GB034-2'>, '?': <DomainElement 'GB034-?'>}
GB035	Hedvigs_thematic_order0121	Is there an opposition between three or more distance terms in the demonstrative system?	4:?;1: present;2:y;3:n;0: absent	Demonstratives are markers of a small set This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of demonstratives includes a marker that is anaphoric this does not count as a third distance.	Demonstratives are markers of a small set This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of demonstratives includes a marker that is anaphoric this does not count as a third distance.		Not mentioned, The distinction is distance from speaker versus hearer		in progress	Existe-t-il une opposition entre trois distinctions de distance ou plus dans le système démonstratif?	demonstrative	deixis	paradigm, declension, suppletion		35	Sahul	keepers			keep identical copy				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 41			Not only euclidean distance, far and near different referents counts if it yields more than 3 terms.		2.3.02a	Is there an opposition between three or more distance terms in the demonstrative system?	Is there an opposition between three or more distance terms in the demonstrative system?	{'0': <DomainElement 'GB035-0'>, '3': <DomainElement 'GB035-3'>, '?': <DomainElement 'GB035-?'>, '1': <DomainElement 'GB035-1'>, '2': <DomainElement 'GB035-2'>, '4': <DomainElement 'GB035-4'>}
GB036	Hedvigs_thematic_order0122	Is elevation morphologically marked in demonstratives?	4:?;0: absent;5:n/a;1: present;2:y;3:n	Elevation is concerned with how high up or low an object is, altitude.	Elevation is concerned with how high up or low an object is, altitude.		Not mentioned		in progress	Existe-t-il une distinction de l’élévation dans le système démonstratif?	demonstrative	deixis	paradigm, declension, suppletion		36	Sahul	keepers			keep identical copy				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 41 can be useful				"E.g., do demonstratives obligatorily encode a difference like ""this above"" and ""this below ""."	2.3.05	Is elevation morphologically marked in demonstratives?	Is elevation morphologically marked in demonstratives?	{'0': <DomainElement 'GB036-0'>, '3': <DomainElement 'GB036-3'>, '?': <DomainElement 'GB036-?'>, '1': <DomainElement 'GB036-1'>, '2': <DomainElement 'GB036-2'>, '4': <DomainElement 'GB036-4'>}
GB037	Hedvigs_thematic_order0123	Is the opposition visible-non-visible marked on demonstratives?	4:?;1: present;3:y;2:n;0: absent	Is there a distinction visible-non-visible when referencing to items that are in the same relative distance, i.e. it is not relevant that demonstratives denoting far away reference often also imply non-visibility.	Is there a distinction visible-non-visible when referencing to items that are in the same relative distance, i.e. it is not relevant that demonstratives denoting far away reference often also imply non-visibility.		Not mentioned		in progress	Existe-t-il une distinction visible/non-visible dans le système démonstratif?	demonstrative	deixis	paradigm, declension, suppletion		37	Sahul	keepers			keep identical copy				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 41 can be useful					2.3.06a	Is the opposition visible-non-visible marked on demonstratives?	Is the opposition visible-non-visible marked on demonstratives?	{'0': <DomainElement 'GB037-0'>, '3': <DomainElement 'GB037-3'>, '?': <DomainElement 'GB037-?'>, '1': <DomainElement 'GB037-1'>, '2': <DomainElement 'GB037-2'>, '4': <DomainElement 'GB037-4'>}
GB038	Hedvigs_thematic_order0124	Are there demonstrative classifiers?	3:?;1: present;2:n;0: absent	Please note, this does NOT concern agreement with the noun class but a separate nominal classification system. This question concerns whether there exists a independent classifier system in demonstratives that is not related to the gender/noun class systems. This classifier system can however be symmetrical with numeral, possessive or verbal classifiers.	Please note, this does NOT concern agreement with the noun class but a separate nominal classification system. This question concerns whether there exists a independent classifier system in demonstratives that is not related to the gender/noun class systems. This classifier system can however be symmetrical with numeral, possessive or verbal classifiers.	Jeremy	Not mentioned, The demonstrative classifier system is the same as another classifier system, Demonstratives agree with what is treated as noun classes		in progress	Existe-t-il des classificateurs démonstratifs? (Nota bene: pas d'indices d'accord)	classifier, demonstrative	nominal classification	phonologically independent item, declension, agreement		38	Sahul	keepers	Hard to apply consistenly accross a global sample by muliple coders in a productive way		replace with better formulation and definition				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.						This is not an issue of agreement, this must be a separate classifying system.	Do demonstratives obligatorily encode classification of the referent noun, e.g., by carrying a classifier morpheme?	2.3.07	Are demonstratives classified?	Are there demonstrative classifiers?	{'1': <DomainElement 'GB038-1'>, '0': <DomainElement 'GB038-0'>, '2': <DomainElement 'GB038-2'>, '3': <DomainElement 'GB038-3'>, '?': <DomainElement 'GB038-?'>}
GB039	Hedvigs_thematic_order0152	Are there declensions (partly) determined by number of the noun?	1: present;2:n;0: absent	Is there nonphonological allomorphy of noun number markers? Are there, for example in the case of large noun class systems, different markings of number that do not correlate with different markings of singular, i.e. are there new groups in the plural that are not aligned with the singular groups?	Are there, for example, different markings of number that does not correlate with different markings of singular, i.e. are there new groups in the plural that are not aligned with the singular groups?	Jeremy	Not mentioned, There are different forms for marking number depending on the noun class, There are different forms for marking number which seem to be phonologically conditioned, The markers are adjacentbut not treated as bound		in progress	Existe-t-il des (partiellement) par le nombre du nom?(partiellement) par le nombre du nom?	noun	number, nominal classification	?		39	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				By noun declensions is meant e.g nouns divided into groups which have formally different sets of morphological marking. Do not include place names which can act as bare adjuncts	(By noun declensions is meant e.g. nouns divided into groups which act differently in terms of morphological marking. Do not include place names which can act as bare adjuncts.)	Swedish would be yes because there are declensions of plural marking that do not align with the grammatical gender.	Are there different classes of nouns that take different kinds of plural marking (not related to gender etc)	2.4.02	Are there declensions (partly) determined by number of the noun?	Are there declensions (partly) determined by number of the noun?	{'1': <DomainElement 'GB039-1'>, '0': <DomainElement 'GB039-0'>, '2': <DomainElement 'GB039-2'>, '?': <DomainElement 'GB039-?'>}
GB040		Are there declensions (partly) determined by gender of the noun?	1:n/a;0:n																																										Are there declensions (partly) determined by gender of the noun?	{'0': <DomainElement 'GB040-0'>, '?': <DomainElement 'GB040-?'>}
GB041	Hedvigs_thematic_order0153	Are there nouns which are suppletive for number?	1: present;2:n;0: absent	Only answer (1) if there are more than two examples of this. Body-parts and kinship terms are good place to start investigating.	Only answer (1) if there are more than two examples of this. Body-parts and kinship terms are good place to start investigating.		Not mentioned		in progress	Existe-t-il des noms qui sont marqués en nombre par supplétion?	noun	number	suppletion		(210:1 ν 214:1 ν 219:1 ν 224:1 ν 229:1) -> 41:1	Sahul	keepers			replace with better formulation and definition				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				Only answer yes if present for more than 2	Only answer yes if present for more than 2 (basic) kin terms			2.4.05	Are there nouns which are suppletive for number?	Are there nouns which are suppletive for number?	{'1': <DomainElement 'GB041-1'>, '0': <DomainElement 'GB041-0'>, '2': <DomainElement 'GB041-2'>, '?': <DomainElement 'GB041-?'>}
GB042	Hedvigs_thematic_order0142	Can singular number be marked on the noun itself?	1: present;2:n;0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Absence of plural marking or marking on the entire NP is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	This is meant to capture marking on a open set of nouns, not a restricted set. Absence of plural marking or marking on the entire NP is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.		Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound		in progress	Est-il possible de marquer le singulier sur le nom lui-même?	noun	number, nominal classification	declension		(208.1 v 209:1 v 210:1 v 211:1) -> 42:1	Sahul	keepers			keep identical copy			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, Di Garbo's database: Type of number marking on nouns	Number marking on noun does not count phrase level clitic or reduplication; absence of plural marking does not count as singular marking; exclude derivational forms (e.g. deverbal, deadjectival	number-marking on N does not count phrase-level clitic or reduplication absence of plural marking does NOT count as singular marking	For an open set of nouns, not a restricted set.		2.4.07	Can singular number be marked on the noun itself?	Can singular number be marked on the noun itself?	{'1': <DomainElement 'GB042-1'>, '0': <DomainElement 'GB042-0'>, '2': <DomainElement 'GB042-2'>, '?': <DomainElement 'GB042-?'>}
