ID,Parameter_ID,Language_ID,Feature,Code_ID,Answer,Comment,Source,Possible_Values,Suggested_standardised_comments
75,GB093,abui1241-petle,Is the O participant (at least sometimes) marked by a suffix/enclitic?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
76,GB094,abui1241-petle,Is the O participant (at least sometimes) marked by a prefix/proclitic?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
77,GB095,abui1241-petle,Are variations in marking strategies of core participants based on TAM distinctions?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned
78,GB096,abui1241-petle,Are variations in marking strategies of core participants based on verb classes?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned
79,GB097,abui1241-petle,Are variations in marking strategies of core participants based on clause type; e.g. main vs. subordinate?,2,n,,,2:n;1: present;3:no data;0: absent;4:?,Not mentioned
80,GB098,abui1241-petle,Are variations in marking strategies of core participants based on person distinctions?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned
81,GB099,abui1241-petle,Do verb stems alter according to the person of a core participant?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned
82,GB100,abui1241-petle,Is number ever marked separately from person on the verb?,0,n,,,0:n;1:y,
83,GB101,abui1241-petle,Are person; number and any TAM category (i.e. 3 or more categories in all) marked by portmanteau morphemes on verbs?,0,n,number and person are marked by a portmanteau prefix; but aspect is marked as a separate suffix + with verb alternation,,0:n,
84,GB102,abui1241-petle,Are categories such as person; number; gender related to a single participant discontinuously marked on a verb?,0,n,,,0:n,
85,GB103,abui1241-petle,Are benefactive nominals marked on the verb?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
86,GB104,abui1241-petle,Can instruments be marked on the verb?,2,n,serial verb constructions are used; using the verb mi 'get'.,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
87,GB105,abui1241-petle,Can recipients be treated as a transitive object; i.e. as Direct Object?,2,y,direct object is not really a relevant term for the Abui system but verbal prefixes can refer to recipients as well as patients,,3:n;1: present;2:y;0: absent,Not mentioned
88,GB106,abui1241-petle,Are there syntactically ditransitive verbs?,2,n,,Kratochvil (2007:11),2:n;1: present;3:y;0: absent,Not mentioned; Only one or very few such as 'give'
89,GB107,abui1241-petle,Is negation marked morphologically on the verb?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the property word but not treated as morphologically bound
90,GB108,abui1241-petle,Can locative or direction be morphologically marked on the verb?,2,y,not 100& sure,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
91,GB109,abui1241-petle,Are there suppletive verbs for number of participants?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; Only one example
92,GB110,abui1241-petle,Are there suppletive verbs for tense or aspect?,2,n,All verbs undergo stem alternation to mark aspect but not suppletion,Kratochvil (2007:210),2:n;1: present;0: absent,Not mentioned; One or very few; Unclear whether the suppletive pattern is a conjugation class
93,GB111,abui1241-petle,Are there conjugation classes?,2,y,this is true for root alternation in aspect marking; but not for pronomial marking.,,3:n;1: present;2:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound; They are transitive versus intransitive verbs
94,GB112,abui1241-petle,Are there (several) verbs which can be used either transitively or intransitively with no morphological marking?,2,n,There are verbs that can be used both transitively and intransitively; but the transitive ones will always take on a pronomial marker.,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; There are only very few examples are or restricted in some way
95,GB113,abui1241-petle,Is there transitivising morphology (include clitics)?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
96,GB114,abui1241-petle,Is there morphology (include clitics) to mark a reflexive action?,2,n,,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
97,GB115,abui1241-petle,Is there morphology (include clitics) to mark a reciprocal action?,2,y,The distributive marker tV-,Kratochvil (2007:80),3:n;1: present;0: absent;2:y;4:?,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
98,GB116,abui1241-petle,Do verbs classify the shape; size; consistency or position of absolutive arguments by means of incorporated nouns; verbal affixes or suppletive verb stems?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; Perhaps some examples but it does not seem to be a systematic feature of verbs; Resembles the noun class system; Resembles the noun classifier system
99,GB117,abui1241-petle,Is there a copula for predicate nominals?,2,n,,(Kratochvil 2007:161),2:n;1: present;3:y;0: absent,Not mentioned; There is but it is not obligatory; There is but it is restricted such as in the past tense only; There is but it is a demonstrative
100,GB118,abui1241-petle,Are there serial verb constructions?,2,y,,,0: absent;1: present;2:y,Not mentioned; Hard to distinguish from verb compounding; Limited to some verbs e.g. English 'go buy food'
101,GB119,abui1241-petle,Are there modal auxiliaries?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,
102,GB120,abui1241-petle,Are there aspectual auxiliaries?,2,y,,,3:n;1: present;2:y;0: absent,
103,GB121,abui1241-petle,Are there tense auxiliaries?,2,n,,,2:n;1: present;3:y;0: absent,
104,GB122,abui1241-petle,Is verb compounding a regular process?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; Hard to distinguish from serial verb constructions
105,GB123,abui1241-petle,Are there verb-adjunct (aka light-verb) constructions?,2,y,,Kratochvil (2007:294),3:n;1: present;2:y;0: absent,Not mentioned
106,GB124,abui1241-petle,Is incorporation of nouns into verbs a productive intransitivizing process?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The noun appears adjacent to the verb but is not treated as morphologically bound
107,GB125,abui1241-petle,Is there productive incorporation of non-nominal elements (adjectives; locatives; etc.) into verbs?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
108,GB126,abui1241-petle,Is there one or more existential verb?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; It exists but is the same as the copula; It exists but also encodes position
109,GB127,abui1241-petle,Are there positional (classificatory) verbs?,2,y,,,0: absent;4:y?;3:n;1: present;5:no data;2:y;6:?,Not mentioned; They are not fully obligatory
110,GB128,abui1241-petle,Is the verb 'give' morphologically peculiar (different from most other verbs)?,0,n,Used frequently in serial verb construction; especially with verbs containing differential object marking with respect to animacy; but aspect alternation l-r is common.,Kratochvil (2007:294),0:n;1:y,
111,GB129,abui1241-petle,Is there a notably small number; i.e. about 100 or less; of verbs in the language?,2,n,,,2:n;1: present;0: absent,Not mentioned
112,GB130,abui1241-petle,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,SV,,needs-check,4:1;1: SV;3: both;2: VS,Not mentioned; Pronouns have opposite order; Different depending on clause type or TAM etc.; Occurs with a type of focus construction
113,GB131,abui1241-petle,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,2,n,,,2:n;1: present;0: absent,Not mentioned; Pronouns have a different order; Different depending on clause type or TAM etc.
114,GB132,abui1241-petle,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; Pronouns have a different order; Different depending on clause type or TAM etc.
115,GB133,abui1241-petle,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; Pronouns have a different order; Different depending on clause type or TAM etc.
116,GB134,abui1241-petle,Is the order of constituents the same in main and subordinate clauses?,2,y,,,0: absent;1: present;2:y;3:?,Not mentioned; Only in some type of subordinate clauses; Order is more restricted in main clauses; Order is more restricted in subordinate clauses
117,GB135,abui1241-petle,Do clausal objects occur in the same position as nominal objects?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
118,GB136,abui1241-petle,Is constituent order fixed?,2,y,,,0: absent;1: present;2:y,Not mentioned that there is any variation; There is variation due to topicalisation and focus
119,GB137,abui1241-petle,Can negation be marked clause-finally?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; Only in some sentences where a normally initial element such as the subject is not present; Negation is marked on the verb which appears clause-initially
120,GB138,abui1241-petle,Can negation be marked clause-initially?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; Only in some sentences where a normally final element such as the direct object is not present; Negation is marked on the verb which appears clause-finally
121,GB139,abui1241-petle,Is there a difference between imperative and declarative negation?,2,y,,,0: absent;1: present;2:y;3:?,Not mentioned; Difference in word order; Difference in the form of the negator; Difference in the presence of a particular element which is not analysed as part of the negator
122,GB140,abui1241-petle,Are verbal and non-verbal predicates marked by the same negator?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; A special negator or negative form of the verb is used for existential meanings; A special negator or negative form of the copula is used with nominal predicates; A special negator or negative form of the copula is used with predicative adjectives; Other negative forms but which are discounted by the clarifying comment
123,GB141,abui1241-petle,Are S and O conflated morphologically in at least some basic constructions; i.e. simple main clauses?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
124,GB142,abui1241-petle,Are S and A conflated morphologically in at least some basic constructions; i.e. simple main clauses?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
125,GB143,abui1241-petle,Are S and O conflated morphologically across clause boundaries; i.e. acting as syntactic pivot?,0,n,,,0:n;2:no data;1:y;3:?,
126,GB144,abui1241-petle,Are S and A conflated morphologically across clause boundaries; i.e. acting as syntactic pivot?,0,n,,,0:n;2:no data;1:y;3:?,
127,GB145,abui1241-petle,Do S and O operate in the same way; and differently from A; for the purpose of any syntactic construction?,0,y,,,1:n;0:y;2:?,
128,GB146,abui1241-petle,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The experiencer is expressed as an object; Only for mental states and emotions; There are verbs with unusual case frames but not necessarily controlled versus uncontrolled
129,GB147,abui1241-petle,Is there a morphologically marked passive construction?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
130,GB148,abui1241-petle,Is there a morphologically marked antipassive?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
131,GB149,abui1241-petle,Is there a morphologically marked inverse?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
132,GB150,abui1241-petle,Is there clause chaining?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; Hard to distinguish from serial verb constructions
133,GB151,abui1241-petle,Is there a morphologically-marked switch reference system?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned
134,GB152,abui1241-petle,Is there a morphologically marked distinction between simultaneous and sequential clauses?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; There is a marker adjacent to the verb but not treated as morphologically bound
135,GB153,abui1241-petle,Is the verb 'say' or a quotative construction used in desiderative constructions?,1,Not known,,needs-check,0:n;2:y;1:?,
136,GB154,abui1241-petle,Are causatives formed by serial verb constructions?,0,y,,,1:n;0:y;2:?,
137,GB155,abui1241-petle,Are causatives formed by affixes/clitics?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
138,GB156,abui1241-petle,Are causatives formed by constructions involving 'say'?,2,n,,,2:n;1: present;0: absent,Not mentioned
139,GB157,abui1241-petle,Is there tail-head linkage?,2,y,,,0: absent;3:n;1: present;5:no data;4:no d ata;2:y;6:?,Not mentioned
140,GB158,abui1241-petle,Are verbs reduplicated?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; Some examples but not productive; Possible partial reduplication; There are instances of repeated verbs but that does not count as reduplication
141,GB159,abui1241-petle,Are nouns reduplicated?,2,n,carries various functions and is a productive process for (stative) verbs,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; Some examples but not productive; Possible partial reduplication; The prototypical noun 'book book' type reduplication is known to exist but not other types
142,GB160,abui1241-petle,Are elements apart from verbs or nouns reduplicated?,2,y,numerals as well.,,0: absent;4:n;1: present;3:no data;2:y;5:?,Not mentioned; Numerals are reduplicated; Adjectives are reduplicated but are arguably a type of verb; Possible partial reduplication
143,GB162,abui1241-petle,Is there a distinction between masculine and feminine in 1st person pronouns?,0,n,,,0:n,
144,GB163,abui1241-petle,How many genders/noun classes are there?,?,Not known,,,1:2;3:?;0:several;2:n,
145,GB165,abui1241-petle,Can trial number be marked on the noun itself?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
146,GB166,abui1241-petle,Can paucal number be marked on the noun itself?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
147,GB167,abui1241-petle,Are there logophoric pronouns for the 3rd person?,2,n,,,2:n;1: present;0: absent,Not mentioned
148,GB168,abui1241-petle,Is there a distinction between inanimate and animate in 3rd person singular pronouns?,0,y,Lots of speaker variation. Some young speakers use di as a 3 person marker for inanimates as well.,,1:n;0:y,
149,GB169,abui1241-petle,Is there a distinction between masculine and feminine in 3rd person singular pronouns?,0,n,,,0:n,
150,GB170,abui1241-petle,Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement
151,GB171,abui1241-petle,Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?,?,Not known,,,2:n;1: present;3:y;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement
152,GB172,abui1241-petle,Can articles agree with the gender/noun class of the noun they modify?,2,n,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement; It is not clear whether it is an article
