Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
GB065	teiw1235	What is the order of possessor and possessed in the attributive possessive construction?	5	1		nan	2:Possessed-Possessor;1:Possessor-Possessed;5:1;4:both;6:3	Not mentioned, Pronouns use the opposite order
GB066	teiw1235	Are there different orders of elements in a possessive phrase for different classes of possession?	0	n		nan	1:y;0:n	
GB067	teiw1235	What is the counting system?	0	2		nan	2:decimal;1:1;0:2	
GB068	teiw1235	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) act like verbs in predicative position?	3	n	Adjectives do not take Realis inflection.	nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned, Neither verbs nor adjectives receive marking, Some TAM and voice marking on verbs is not shared by adjectives
GB069	teiw1235	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	3	n		nan	1: present;2:y;3:n;0: absent	Not mentioned, Neither verbs nor adjectives receive marking, Some TAM and voice marking on verbs is not shared by adjectives
GB070	teiw1235	Is there case marking for core nominal NPs (i.e., S, A or O function)?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the noun but not treated as morphologically bound
GB071	teiw1235	Is there case marking for core pronouns?	3	y		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the noun but not treated as morphologically bound
GB072	teiw1235	Is there case marking for oblique nominal NPs?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The markers are adjacent to the noun but not treated as morphologically bound
GB073	teiw1235	Is there case marking for oblique pronouns?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The markers are adjacent to the noun but not treated as morphologically bound
GB074	teiw1235	Are there prepositions?	2	n		nan	3:?;1: present;4:y;2:n;0: absent	Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs, Only one or very few
GB075	teiw1235	Are there postpositions?	3	y	Only one: ma 'come'> ma 'LOC'	nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs, Only one or very few
GB076	teiw1235	Are there adpositions to mark core NPs?	2	n		nan	4:?;0: absent;5:n/a;1: present;3:y;2:n	Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs
GB077	teiw1235	Are there adpositions to mark oblique NPs?	3	y		nan	4:?;0: absent;5:n/a;1: present;3:y;2:n	Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs
GB078	teiw1235	Is there a distinction between locational and directional adpositions?	0	n		nan	3:n/a;2:?;1:y;0:n	
GB079	teiw1235	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	3	y	One unproductive applicative prefix.	nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, Only one or very few
GB080	teiw1235	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	2	y	One realis suffix	nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, Only one or very few
GB081	teiw1235	Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, It is a type of reduplication, Some other doubt about why it is an infix
GB082	teiw1235	Is there present tense regularly morphologically marked on the verb?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is described as non-past rather than specifically present, The marker conveys both tense and aspect, The markers are adjacent to the verb but not treated as morphologically bound
GB083	teiw1235	Is there past tense regularly morphologically marked on the verb?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB084	teiw1235	Is there future tense regularly morphologically marked on the verb?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is described as conveying non-past rather than specifically future, The markers are adjacent to the verb but not treated as morphologically bound
GB085	teiw1235	Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	1	n/a		nan	1:n/a;0:n	
GB086	teiw1235	Is a distinction between punctual/continuous aspect available as a morphological choice?	3	n		nan	1: present;2:y;3:n;0: absent	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB087	teiw1235	Is a distinction between realis/irrealis mood available as a morphological choice?	3	y		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, It is called 'realis'/'irrealis' by the grammar
GB088	teiw1235	Is there an apprehensive modal category marked on the verb also known as 'evitative', 'lest', etc.?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, There is a marker but it has other functions
GB089	teiw1235	Is the S participant (at least sometimes) marked by a suffix/enclitic?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB090	teiw1235	Is the S participant (at least sometimes) marked by a prefix/proclitic?	3	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB091	teiw1235	Is the A participant (at least sometimes) marked by a suffix/enclitic?	2	n		nan	3:?;1: present;4:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB092	teiw1235	Is the A participant (at least sometimes) marked by a prefix/proclitic?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB093	teiw1235	Is the O participant (at least sometimes) marked by a suffix/enclitic?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB094	teiw1235	Is the O participant (at least sometimes) marked by a prefix/proclitic?	2	y		nan	1: present;2:y;3:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB095	teiw1235	Are variations in marking strategies of core participants based on TAM distinctions?	4	n/a		nan	4:n/a;1: present;3:y;2:n;0: absent	Not mentioned
GB096	teiw1235	Are variations in marking strategies of core participants based on verb classes?	4	n/a		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned
GB097	teiw1235	Are variations in marking strategies of core participants based on clause type, e.g. main vs. subordinate?	5	n/a		nan	4:?;3:no data;0: absent;5:n/a;1: present;2:n	Not mentioned
GB098	teiw1235	Are variations in marking strategies of core participants based on person distinctions?	4	n/a		nan	4:n/a;1: present;3:y;2:n;0: absent	Not mentioned
GB099	teiw1235	Do verb stems alter according to the person of a core participant?	2	n		nan	3:?;1: present;2:n;0: absent	Not mentioned
GB100	teiw1235	Is number ever marked separately from person on the verb?	0	n		nan	1:y;0:n	
GB101	teiw1235	Are person, number and any TAM category (i.e. 3 or more categories in all) marked by portmanteau morphemes on verbs?	0	n		nan	0:n	
GB102	teiw1235	Are categories such as person, number, gender related to a single participant discontinuously marked on a verb?	0	n		nan	0:n	
GB103	teiw1235	Are benefactive nominals marked on the verb?	3	y		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB104	teiw1235	Can instruments be marked on the verb?	3	y		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB105	teiw1235	Can recipients be treated as a transitive object, i.e. as Direct Object?	2	y		nan	1: present;2:y;3:n;0: absent	Not mentioned
GB106	teiw1235	Are there syntactically ditransitive verbs?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Only one or very few such as 'give'
GB107	teiw1235	Is negation marked morphologically on the verb?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the property word but not treated as morphologically bound
GB108	teiw1235	Can locative or direction be morphologically marked on the verb?	3	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB109	teiw1235	Are there suppletive verbs for number of participants?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Only one example
GB110	teiw1235	Are there suppletive verbs for tense or aspect?	2	n		nan	1: present;2:n;0: absent	Not mentioned, One or very few, Unclear whether the suppletive pattern is a conjugation class
GB111	teiw1235	Are there conjugation classes?	3	n		nan	1: present;2:y;3:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, They are transitive versus intransitive verbs
GB112	teiw1235	Are there (several) verbs which can be used either transitively or intransitively with no morphological marking?	3	y	p. 100	nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, There are only very few examples are or restricted in some way
GB113	teiw1235	Is there transitivising morphology (include clitics)?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB114	teiw1235	Is there morphology (include clitics) to mark a reflexive action?	2	n		nan	5:?;0: absent;4:no data;1: present;3:y;2:n	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB115	teiw1235	Is there morphology (include clitics) to mark a reciprocal action?	2	y	prefix t- (from distributive pronoun ta'an)	nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound
GB116	teiw1235	Do verbs classify the shape, size, consistency or position of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Perhaps some examples but it does not seem to be a systematic feature of verbs, Resembles the noun class system, Resembles the noun classifier system
GB117	teiw1235	Is there a copula for predicate nominals?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, There is but it is not obligatory, There is but it is restricted such as in the past tense only, There is but it is a demonstrative
GB118	teiw1235	Are there serial verb constructions?	2	y		nan	1: present;2:y;0: absent	Not mentioned, Hard to distinguish from verb compounding, Limited to some verbs e.g. English 'go buy food'
GB119	teiw1235	Are there modal auxiliaries?	2	y		nan	5:?;0: absent;4:no data;1: present;2:y;3:n	
GB120	teiw1235	Are there aspectual auxiliaries?	2	y		nan	1: present;2:y;3:n;0: absent	
GB121	teiw1235	Are there tense auxiliaries?	2	n		nan	1: present;3:y;2:n;0: absent	
GB122	teiw1235	Is verb compounding a regular process?	2	y		nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned, Hard to distinguish from serial verb constructions
GB123	teiw1235	Are there verb-adjunct (aka light-verb) constructions?	3	n		nan	1: present;2:y;3:n;0: absent	Not mentioned
GB124	teiw1235	Is incorporation of nouns into verbs a productive intransitivizing process?	2	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The noun appears adjacent to the verb but is not treated as morphologically bound
GB125	teiw1235	Is there productive incorporation of non-nominal elements (adjectives, locatives, etc.) into verbs?	2	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB126	teiw1235	Is there one or more existential verb?	2	y		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, It exists but is the same as the copula, It exists but also encodes position
GB127	teiw1235	Are there positional (classificatory) verbs?	2	y		nan	6:?;0: absent;5:no data;2:y;1: present;3:n;4:y?	Not mentioned, They are not fully obligatory
GB128	teiw1235	Is the verb 'give' morphologically peculiar (different from most other verbs)?	0	n		nan	1:y;0:n	
GB129	teiw1235	Is there a notably small number, i.e. about 100 or less, of verbs in the language?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB130	teiw1235	What is the pragmatically unmarked order of S and V in intransitive clauses?	4	1		nan	3: both;4:1;1: SV;2: VS	Not mentioned, Pronouns have opposite order, Different depending on clause type or TAM etc., Occurs with a type of focus construction
GB131	teiw1235	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	2	n		nan	1: present;2:n;0: absent	Not mentioned, Pronouns have a different order, Different depending on clause type or TAM etc.
GB132	teiw1235	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Pronouns have a different order, Different depending on clause type or TAM etc.
GB133	teiw1235	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	2	y		nan	1: present;2:y;3:n;0: absent	Not mentioned, Pronouns have a different order, Different depending on clause type or TAM etc.
GB134	teiw1235	Is the order of constituents the same in main and subordinate clauses?	2	y	Grammatically  subordinate clauses are only  nominalised clauses. 	nan	4:n/a;3:?;1: present;2:y;0: absent	Not mentioned, Only in some type of subordinate clauses, Order is more restricted in main clauses, Order is more restricted in subordinate clauses
GB135	teiw1235	Do clausal objects occur in the same position as nominal objects?	5	n/a		nan	4:?;0: absent;5:n/a;1: present;2:y;3:n	Not mentioned
GB136	teiw1235	Is constituent order fixed?	2	y		nan	1: present;2:y;0: absent	Not mentioned that there is any variation, There is variation due to topicalisation and focus
GB137	teiw1235	Can negation be marked clause-finally?	2	y		nan	1: present;2:y;3:n;0: absent	Not mentioned, Only in some sentences where a normally initial element such as the subject is not present, Negation is marked on the verb which appears clause-initially
GB138	teiw1235	Can negation be marked clause-initially?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Only in some sentences where a normally final element such as the direct object is not present, Negation is marked on the verb which appears clause-finally
GB139	teiw1235	Is there a difference between imperative and declarative negation?	2	y	negative imperative expressed by the prohibitive verb gaxai 'do not'. Declarative negative is expressed with negator maan. 	nan	3:?;1: present;2:y;0: absent	Not mentioned, Difference in word order, Difference in the form of the negator, Difference in the presence of a particular element which is not analysed as part of the negator
GB140	teiw1235	Are verbal and non-verbal predicates marked by the same negator?	3	y	marked by maan 'NEG'.	nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, A special negator or negative form of the verb is used for existential meanings, A special negator or negative form of the copula is used with nominal predicates, A special negator or negative form of the copula is used with predicative adjectives, Other negative forms but which are discounted by the clarifying comment
GB141	teiw1235	Are S and O conflated morphologically in at least some basic constructions, i.e. simple main clauses?	3	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned
GB142	teiw1235	Are S and A conflated morphologically in at least some basic constructions, i.e. simple main clauses?	3	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned
GB143	teiw1235	Are S and O conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?	0	n		nan	2:no data;3:?;1:y;0:n	
GB144	teiw1235	Are S and A conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?	1	y		nan	2:no data;3:?;1:y;0:n	
GB145	teiw1235	Do S and O operate in the same way, and differently from A, for the purpose of any syntactic construction?	1	n		nan	2:?;0:y;1:n	
GB146	teiw1235	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	3	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The experiencer is expressed as an object, Only for mental states and emotions, There are verbs with unusual case frames but not necessarily controlled versus uncontrolled
GB147	teiw1235	Is there a morphologically marked passive construction?	2	n		Klamer 2010: 30, 515	3:?;1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB148	teiw1235	Is there a morphologically marked antipassive?	2	n		nan	3:?;1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB149	teiw1235	Is there a morphologically marked inverse?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB150	teiw1235	Is there clause chaining?	3	n		Klamer 2010: 31	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned, Hard to distinguish from serial verb constructions
GB151	teiw1235	Is there a morphologically-marked switch reference system?	2	n		Klamer 2010: 395	1: present;3:y;2:n;0: absent	Not mentioned
GB152	teiw1235	Is there a morphologically marked distinction between simultaneous and sequential clauses?	2	y	The difference is encoded with different conjunctions/particles	nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, There is a marker adjacent to the verb but not treated as morphologically bound
GB153	teiw1235	Is the verb 'say' or a quotative construction used in desiderative constructions?	0	n	The verb xogo' 'want, wish' is used	nan	1:?;2:y;0:n	
GB154	teiw1235	Are causatives formed by serial verb constructions?	1	n	Expressed by sequences of clauses.	Klamer 201): 378	2:?;0:y;1:n	
GB155	teiw1235	Are causatives formed by affixes/clitics?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound
GB156	teiw1235	Are causatives formed by constructions involving 'say'?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB157	teiw1235	Is there tail-head linkage?	3	n		nan	6:?;0: absent;5:no data;1: present;4:no d ata;2:y;3:n	Not mentioned
GB158	teiw1235	Are verbs reduplicated?	2	y		nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned, Some examples but not productive, Possible partial reduplication, There are instances of repeated verbs but that does not count as reduplication
GB159	teiw1235	Are nouns reduplicated?	3	y		nan	5:?;0: absent;4:no data;1: present;3:y;2:n	Not mentioned, Some examples but not productive, Possible partial reduplication, The prototypical noun 'book book' type reduplication is known to exist but not other types
GB160	teiw1235	Are elements apart from verbs or nouns reduplicated?	2	y		Klamer 2010:62-63	5:?;0: absent;3:no data;1: present;2:y;4:n	Not mentioned, Numerals are reduplicated, Adjectives are reduplicated but are arguably a type of verb, Possible partial reduplication
GB162	teiw1235	Is there a distinction between masculine and feminine in 1st person pronouns?	0	n		nan	0:n	
GB163	teiw1235	How many genders/noun classes are there?	4	n/a		nan	4:n/a;3:?;2:n;1:2;0:several	
GB165	teiw1235	Can trial number be marked on the noun itself?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
GB166	teiw1235	Can paucal number be marked on the noun itself?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
GB167	teiw1235	Are there logophoric pronouns for the 3rd person?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB168	teiw1235	Is there a distinction between inanimate and animate in 3rd person singular pronouns?	1	n		nan	0:y;1:n	
GB169	teiw1235	Is there a distinction between masculine and feminine in 3rd person singular pronouns?	0	n		nan	0:n	
GB170	teiw1235	Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	3	n/a		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
GB171	teiw1235	Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?	4	n/a		nan	4:n/a;1: present;3:y;2:n;0: absent	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
GB172	teiw1235	Can articles agree with the gender/noun class of the noun they modify?	3	n/a		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement, It is not clear whether it is an article
GB173	teiw1235	Are noun class and number always marked by a portmanteau morpheme on the noun?	1	n/a		nan	1:n/a;0:n	
GB174	teiw1235	Are noun class and number marked by a portmanteau morpheme on the noun in singular?	1	n/a		nan	1:n/a;0:n	
GB175	teiw1235	Are noun class and number marked by a portmanteau morpheme on the noun in plural?	1	n/a		nan	1:n/a;0:n	
GB176	teiw1235	Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?	1	n/a		nan	1:n/a;0:n	
GB177	teiw1235	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument?	2	y		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, Animacy is treated as a gender and therefore the question does not make sense, The marker is adjacent to the verb but not treated as morphologically bound
GB178	teiw1235	Are there several different singular genders/noun classes that can have the same plural gender/noun class?	1	n/a		nan	1:n/a;0:n	
GB179	teiw1235	Are there genders/noun classes that cannot take number marking?	1	n/a		nan	1:n/a;0:n	
GB181	teiw1235	Is number marking obligatory on certain (types of) nouns?	3	n/a		nan	3:n/a;1:?;2:y;0:n	
GB182	teiw1235	Is number marking obligatory on animate nouns?	2	n/a		nan	2:n/a;1:?;0:n	
GB183	teiw1235	Is number marking obligatory on human nouns?	2	n/a		nan	2:n/a;1:?;0:n	
